2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
80.0,Abdul Rahman Baba,,,,,c2997c7c-7a1a-4709-afba-e306a29912e4
81.0,Matt Miazga,,,,,a2b38008-06bc-4071-94e7-a0bdd3a21b62
82.0,Eden Hazard,104.0,122.0,,,bc361fc1-b502-42cf-86a2-93616f151b3f
83.0,Cesc Fàbregas,105.0,123.0,,,5ec566c0-c883-46e9-83bd-d9d7ed1c2d35
84.0,Oscar dos Santos Emboaba Junior,,,,,98035976-4204-4abc-9296-998b7f790e57
85.0,Juan Cuadrado,,,,,f558a539-d0e0-4187-b1b6-3a28db805be7
86.0,Willian Borges Da Silva,106.0,124.0,113.0,113.0,a2a096e2-1906-469e-b5f5-1e8bbd94b3f2
87.0,Nemanja Matic,107.0,296.0,247.0,247.0,a4a90edc-fead-451b-bebe-8171fb3376c4
88.0,Ruben Loftus-Cheek,108.0,132.0,115.0,115.0,e826ec21-d73c-4ca4-bce9-98536bad2627
89.0,John Obi Mikel,,,,,2b3848f4-e79b-4c2e-b1d9-9238b430320a
90.0,Pedro Rodríguez Ledesma,109.0,125.0,114.0,114.0,76f775a7-3a15-4983-b2eb-b559793eb0d9
91.0,Bertrand Traore,,,,,8a2371d0-e86a-4523-8be2-0f49f668ac03
92.0,Victor Moses,102.0,117.0,,,47868303-6d53-409e-8aac-bb86969feace
93.0,Marco Van Ginkel,,,,,06b9384d-e766-4fea-9c21-cf1c27213f43
94.0,Robert Kenedy Nunes do Nascimento,110.0,458.0,,462.0,1c9bde1b-1ac2-4156-a89e-a81b4c13ce71
95.0,N'Golo Kanté,111.0,126.0,119.0,119.0,ed8ed0a8-7237-4bb5-8119-489ea5fde232
96.0,Michy Batshuayi,113.0,592.0,,461.0,5130a5c3-e375-45ff-84c5-bfec64547eaa
97.0,Diego Da Silva Costa,114.0,,,,f94457d5-ad5b-433d-8e5c-9192b340f094
98.0,Loïc Remy,,,,,19d828df-0c8b-460f-b13e-00a618a9c471
99.0,Julian Speroni,116.0,136.0,,,0d328052-bb20-4aae-98cb-3d93b029c540
100.0,Wayne Hennessey,115.0,135.0,132.0,132.0,a71efefa-435c-4a9e-8d18-d9a673e2903c
101.0,Alex McCarthy,305.0,328.0,318.0,318.0,7f31d4a3-a2c2-4831-890e-294c2bf2fa48
102.0,Steve Mandanda,,,,,eba4b828-7050-4191-b021-8c69bd4d87ce
103.0,James Tomkins,117.0,138.0,124.0,124.0,eeb046cf-d99f-493e-a30c-4788dd93772b
104.0,Scott Dann,118.0,139.0,127.0,127.0,10edf64f-9625-4608-8bf8-159abdd3338c
105.0,Joel Ward,119.0,441.0,126.0,126.0,8d6a8eef-d459-44b6-9a5a-493f202257f8
106.0,Martin Kelly,120.0,140.0,128.0,128.0,564d2cd4-4a06-4830-818a-2179b671e721
107.0,Damien Delaney,121.0,,,,bafdb9a5-7efd-4e37-8cd3-bf9b3e81f98a
108.0,Pape Souaré,122.0,443.0,,,321f344e-d585-4ee9-a298-b3e1fb6ca796
